slug,name,scientificname,completeness_score,classification,priority,missing_fields
sakae-naa,sakae naa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
salvia,salvia,Salvia divinorum,4,ready_for_research,medium,preparation; region
salvia-apiana,salvia apiana,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
salvia-divinorum,salvia divinorum,,5,partial,high,scientificname
salvia-sclarea,salvia sclarea,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
san-pedro,san pedro,Echinopsis pachanoi,4,ready_for_research,medium,preparation; region
sananga,sananga,Tabernaemontana sananho,4,ready_for_research,medium,preparation; region
sanango,sanango,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
sassafras,sassafras,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
sceletium-tortuosum-kanna,sceletium tortuosum (kanna),,5,partial,high,scientificname
scullcap-scutellaria,scullcap (scutellaria),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
scutellaria-lateriflora,scutellaria lateriflora,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
zingiber-zerumbet,shampoo ginger,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
convolvulus-pluricaulis,shankhpushpi,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
siberian-motherwort,siberian motherwort,Leonurus sibiricus,4,ready_for_research,medium,preparation; region
zanthoxylum-bungeanum,sichuan pepper,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
sida-acuta,sida acuta,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
silene-capensis,silene capensis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
silene-undulata,silene undulata,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
silphium-extinct,silphium (extinct),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
silybum-marianum,silybum marianum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
sinicuichi,sinicuichi,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
skullcap,skullcap,Scutellaria lateriflora,4,ready_for_research,high,preparation; region
